fft_bin_1,fft_bin_2,fft_bin_3,fft_bin_4,fft_bin_5,fft_bin_6,fft_bin_7,fft_bin_8,fft_bin_9,fft_bin_10,label
0.18,0.03,0.07,0.05,0.08,0.05,0.05,0.06,0.06,0.06,0
0.15,0.08,0.04,0.05,0.05,0.04,0.05,0.04,0.08,0.08,0
0.17,0.07,0.1,0.08,0.06,0.07,0.04,0.05,0.05,0.01,0
0.16,0.05,0.03,0.05,0.02,0.04,0.06,0.02,0.01,0.03,0
0.15,0.1,0.02,0.05,0.01,0.02,0.04,0.08,0.04,0.05,0
0.1,0.13,0.04,0.02,0.07,0.04,0.04,0.07,0.09,0.09,0
0.18,0.04,0.07,0.06,0.06,0.06,0.02,0.0,0.04,0.04,0
0.18,0.05,0.06,0.03,0.08,0.07,0.04,0.02,0.05,0.03,0
0.16,0.07,0.07,0.06,0.03,0.05,0.04,0.02,0.04,0.02,0
0.13,0.11,0.03,0.02,0.1,0.08,0.07,0.07,0.07,0.05,0
0.15,0.1,0.03,0.04,0.06,0.02,0.05,0.04,0.03,0.07,0
0.09,0.08,0.02,0.02,0.05,0.04,0.04,0.03,0.04,0.06,0
0.19,0.05,0.05,0.06,0.01,0.02,0.04,0.04,0.03,0.03,0
0.11,0.07,0.05,0.03,0.03,0.02,0.04,0.06,0.09,0.11,0
0.1,0.1,0.07,0.04,0.02,0.06,0.05,0.04,0.06,0.02,0
0.16,0.05,0.04,0.04,0.03,0.07,0.1,0.05,0.04,0.04,0
0.2,0.06,0.03,0.03,0.03,0.06,0.07,0.07,0.03,0.03,0
0.14,0.06,0.04,0.03,0.08,0.04,0.04,0.03,0.02,0.09,0
0.12,0.08,0.05,0.02,0.05,0.05,0.06,0.09,0.06,0.08,0
0.13,0.07,0.01,0.04,0.01,0.04,0.07,0.06,0.04,0.06,0
0.16,0.06,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0
0.12,0.11,0.05,0.05,0.04,0.06,0.02,0.07,0.05,0.02,0
0.19,0.04,0.04,0.04,0.1,0.06,0.04,0.04,0.04,0.04,0
0.22,0.01,0.08,0.05,0.05,0.02,0.03,0.03,0.07,0.06,0
0.12,0.08,0.04,0.02,0.01,0.03,0.02,0.03,0.01,0.03,0
0.13,0.08,0.05,0.05,0.06,0.06,0.04,0.08,0.09,0.08,0
0.2,0.09,0.03,0.01,0.06,0.04,0.04,0.03,0.05,0.02,0
0.11,0.15,0.06,0.06,0.04,0.04,0.08,0.06,0.03,0.06,0
0.15,0.04,0.04,0.03,0.08,0.06,0.02,0.08,0.09,0.03,0
0.1,0.07,0.06,0.04,0.05,0.03,0.06,0.07,0.05,0.05,0
0.08,0.08,0.06,0.01,0.02,0.05,0.03,0.05,0.04,0.02,0
0.18,0.09,0.05,0.04,0.03,0.05,0.08,0.05,0.05,0.06,0
0.15,0.02,0.1,0.07,0.04,0.03,0.04,0.04,0.06,0.06,0
0.16,0.05,0.02,0.06,0.04,0.04,0.06,0.04,0.02,0.03,0
0.18,0.0,0.08,0.04,0.07,0.04,0.04,0.05,0.04,0.04,0
0.09,0.1,0.04,0.07,0.02,0.03,0.08,0.07,0.06,0.06,0
0.15,0.08,0.02,0.08,0.05,0.04,0.01,0.05,0.1,0.1,0
0.23,0.05,0.05,0.04,0.03,0.04,0.04,0.07,0.08,0.07,0
0.18,0.05,0.06,0.08,0.08,0.03,0.03,0.05,0.07,0.05,0
0.14,0.07,0.06,0.09,0.08,0.06,0.01,0.03,0.04,0.03,0
0.36,0.47,0.39,0.98,1.75,1.53,1.65,1.33,1.03,1.2,2
0.61,0.91,0.63,0.56,0.45,1.67,2.84,1.79,1.66,1.24,2
1.77,1.01,0.43,0.68,0.45,0.47,0.22,1.21,1.68,1.09,2
0.6,0.96,1.13,0.36,0.59,0.6,1.51,0.7,1.43,0.63,2
0.42,0.22,0.74,1.05,0.99,1.73,2.25,0.87,1.7,2.52,2
0.4,0.57,0.41,0.82,1.01,0.5,1.14,1.95,1.45,0.14,2
0.09,0.31,0.38,1.29,1.52,0.37,1.53,1.27,0.28,0.99,2
0.41,0.67,0.83,1.71,1.75,1.28,2.29,1.52,0.54,1.27,2
1.11,0.24,0.28,0.8,0.56,0.89,1.87,0.96,0.84,1.18,2
1.29,0.72,0.96,0.95,0.42,0.49,1.18,1.01,2.18,1.93,2
0.78,0.5,0.48,0.15,0.31,0.54,1.1,0.63,0.92,1.15,2
0.94,0.46,0.79,0.87,0.77,0.81,1.78,2.16,2.15,1.42,2
0.21,0.2,0.14,0.44,0.86,1.43,1.44,1.23,0.85,1.36,2
1.2,0.52,1.08,1.11,1.31,0.81,0.66,0.99,1.45,0.66,2
0.53,0.55,0.55,0.92,1.09,0.61,0.75,1.1,1.77,0.8,2
1.25,0.84,0.86,1.4,1.89,1.25,1.11,0.92,1.05,0.25,2
0.52,1.15,1.14,0.32,0.95,0.1,1.6,1.25,0.43,1.15,2
1.07,0.8,0.64,0.76,0.72,0.77,2.05,3.42,2.3,0.82,2
0.22,0.7,0.35,0.39,0.55,0.8,1.58,2.73,2.62,1.91,2
0.62,0.37,0.08,0.6,1.45,0.34,0.89,1.09,1.31,0.26,2
0.04,0.36,0.32,0.75,0.68,0.64,1.72,1.02,1.35,1.38,2
